clust_logFCS,clust_logFCS_predict_ipc
3.6660154,3.8455029
3.7188785,3.8455029
3.7998304,3.8455029
3.8448913,3.8455029
3.6879361,3.8455029
3.7841516,3.8455029
3.8374259,3.8455029
3.8953035,3.8455029
3.8047087,3.8455029
3.6172888,3.8092873
3.6439795,3.8455029
3.4990628,3.8455029
3.4933577,3.8092873
3.6403515,3.8455029
3.6665723,3.8092873
3.84376,3.8092873
3.7008128,3.8455029
3.7441485,3.8092873
3.6215286,3.8455029
3.862515,3.8092873
3.9374404,3.8092873
3.8079872,3.8092873
3.9977124,3.8092873
3.8358147,3.8092873
3.7830768,3.8092873
3.8918312,3.7114458
4.1514988,3.8092873
3.8444798,3.8092873
3.8362947,3.8455029
3.6930976,3.8455029
3.6518881,3.8455029
3.7350838,3.8455029
3.9886575,3.8455029
3.7446616,3.8455029
3.93312,3.8455029
3.7440948,3.8455029
3.7857857,3.8455029
3.7116849,3.8455029
3.8871653,3.8455029
3.9496818,3.8455029
4.2388158,3.8455029
3.9722149,3.8455029
3.8195713,3.8455029
3.7748787,3.8455029
3.9916737,3.8455029
3.8403809,3.8455029
3.8244824,3.8455029
3.8742146,3.8455029
3.7777686,3.8455029
3.9021387,3.8455029
3.7166927,3.8455029
3.5496531,3.8455029
3.9362974,3.8455029
3.7444925,3.8455029
3.5289705,3.8455029
3.5693336,3.8455029
3.6268327,3.8455029
3.4981892,3.8455029
3.6486998,3.8455029
4.1787114,3.8455029
4.0011086,3.8455029
4.2960067,3.8455029
4.1393027,3.8455029
4.1048226,3.8455029
3.8897817,3.8455029
4.4301381,3.8455029
3.8571975,3.8455029
4.1035881,3.8455029
3.9184604,3.8455029
3.6246924,3.8455029
3.6686556,3.8455029
3.6704962,3.8455029
3.7689302,3.8455029
3.7852209,3.8455029
3.7130654,3.8455029
4.0658445,3.8455029
4.0676599,3.8455029
4.0440907,3.8455029
3.7745514,3.8455029
3.8609583,3.8455029
3.9285622,3.8455029
3.7868888,3.8455029
3.9609897,3.8455029
3.7418106,3.8455029
3.7601032,3.8455029
3.7442036,3.8455029
3.6866508,3.8455029
3.8576705,3.8455029
4.307807,3.8455029
4.0041785,3.8455029
4.1439509,3.8455029
4.1076107,3.8455029
4.0758004,3.8455029
3.9102142,3.8455029
4.0183487,3.8455029
3.8182402,3.8455029
3.9712291,3.8455029
3.7441885,3.8455029
3.9448898,3.8455029
3.745857,3.8455029
3.7006366,3.8455029
3.7242777,3.8455029
3.6038883,3.8455029
4.0880117,3.8455029
3.8565178,3.8455029
3.8771565,3.8455029
3.8044646,3.8455029
4.4177699,3.8455029
3.9529483,3.8455029
3.9882655,3.8455029
3.782285,3.8455029
3.9465747,3.8455029
3.8390801,3.8455029
3.9228625,3.8455029
4.0240684,3.8455029
3.9198496,3.8455029
3.6902764,3.8455029
3.4244342,3.8455029
3.6624522,3.8455029
3.6410766,3.8455029
3.6560838,3.8455029
3.8188958,3.8455029
3.6584873,3.8455029
3.6556187,3.8455029
3.6803482,3.8455029
4.0570364,3.8455029
4.0009079,3.8455029
3.933511,3.8455029
3.9245605,3.8455029
3.888823,3.8455029
3.9735847,3.8455029
3.7099979,3.8455029
3.8880391,3.8455029
3.7848067,3.8455029
3.7995741,3.8455029
3.8336868,3.8455029
4.070292,3.8455029
3.8762567,3.8455029
3.9872594,3.8455029
3.8244545,3.8455029
3.7324572,3.8455029
3.8186865,3.8455029
3.9912584,3.8455029
3.8286057,3.8455029
3.8511894,3.8455029
3.7493882,3.8455029
4.1048164,3.8455029
4.1718726,3.8455029
3.9400933,3.8455029
4.0186462,3.8455029
4.0405884,3.8455029
4.1376033,3.8455029
4.3435025,3.8455029
3.8839867,3.8455029
3.8106563,3.8455029
3.9591575,3.8455029
3.6416376,3.8455029
3.7192867,3.8455029
3.7181423,3.8455029
3.9302239,3.8455029
3.4777973,3.8455029
3.9654365,3.8455029
3.9739602,3.8455029
4.0015893,3.8455029
3.9948883,3.8455029
3.8791027,3.8455029
3.6354923,3.8455029
3.9577582,3.8455029
3.7005808,3.8455029
3.8639641,3.8455029
3.9037588,3.8455029
3.996321,3.8455029
3.6687996,3.8455029
3.5208199,3.8455029
3.6095014,3.8455029
3.495477,3.8455029
3.8589108,3.8455029
3.8931241,3.8455029
4.2986822,3.8455029
4.1097946,3.8455029
3.8628192,3.8455029
3.9663641,3.8455029
3.7417641,3.8455029
3.7947338,3.8455029
4.0370798,3.8455029
3.8949118,3.8455029
3.883817,3.8455029
3.9784043,3.8455029
3.9291706,3.8455029
3.9026279,3.8455029
3.7447398,3.8455029
3.7646635,3.8455029
3.7439375,3.8455029
4.2029653,3.8455029
4.1304073,3.8455029
4.1328444,3.8455029
4.2230363,3.8455029
4.2691398,3.8455029
