clust_logFCS,clust_logFCS_clust_predict_m1
3.6660154,3.8567648
3.7188785,3.8907733
3.7998304,3.9583588
3.8448913,3.8064806
3.6879361,3.7735903
3.7841516,3.8148732
3.8374259,3.800267
3.8953035,3.7827001
3.8047087,3.8539755
3.6172888,3.9097226
3.6439795,3.8544581
3.4990628,3.6983721
3.4933577,3.8836217
3.6403515,3.8424063
3.6665723,3.9225333
3.84376,3.8658507
4.0433965,3.8553421
3.7008128,3.8537512
3.7441485,3.7851551
3.6215286,3.5833137
3.862515,3.8321366
3.9374404,3.7874765
3.8079872,3.7017205
3.9977124,3.868999
3.8358147,3.8262532
3.7830768,3.8070631
3.8918312,3.8613667
3.7758429,3.8767579
4.1514988,3.8521373
3.8444798,3.8545134
3.8362947,3.8816051
3.6930976,3.8411415
3.6518881,3.8503492
3.7350838,3.8898757
3.9886575,3.9121139
3.7446616,3.9361622
3.93312,3.8161409
3.7440948,3.8656712
3.7857857,3.876781
3.7116849,3.7627952
3.8871653,3.8413181
3.9496818,3.8068676
4.2388158,3.8755417
3.9722149,3.8988073
3.8195713,3.8762996
3.7748787,3.8920956
3.9916737,3.7819233
3.8403809,3.8355312
3.8244824,3.8546779
3.8742146,3.8318899
3.7777686,3.9226737
3.9021387,3.837007
3.7166927,3.6902492
3.5496531,3.7304721
3.9362974,3.8320692
3.7444925,3.7742553
3.5289705,3.5997689
3.5693336,3.8454807
3.6268327,3.7390184
3.4981892,3.7648578
3.6486998,3.8387716
4.1787114,3.8233242
4.0011086,3.8189065
4.2960067,3.8575649
4.1393027,3.8335526
4.1048226,3.8374033
3.8897817,3.8490157
4.4301381,3.8357055
3.8571975,3.8215172
4.1035881,3.8510122
3.9184604,3.806078
3.6246924,3.7572646
3.6686556,3.8479362
3.6704962,3.7847848
3.7689302,3.7404234
3.7852209,3.614527
3.7130654,3.5703754
4.0658445,3.9281731
4.0676599,3.8566561
4.0440907,3.8268526
3.7745514,3.777272
3.8609583,3.8240354
3.9285622,3.8713179
3.7701697,3.8923128
3.7868888,3.883404
3.9609897,3.9020658
3.7418106,3.4756606
3.7601032,3.7604308
3.7442036,3.8343172
3.6866508,3.7969859
3.8576705,3.8741713
4.307807,3.8932674
4.0041785,3.7341266
4.1439509,3.8568323
4.1076107,3.7451994
4.0758004,3.8598032
3.9102142,3.8231933
4.0183487,3.8732483
3.8182402,3.8882699
3.9712291,3.8767045
3.7441885,3.8158293
3.9448898,3.8702197
3.745857,3.8847377
3.7006366,3.8156743
3.7242777,3.8556912
3.6038883,3.9149005
4.0880117,3.7514913
3.8565178,3.771071
3.8771565,3.8064394
3.8044646,3.8385305
4.4177699,3.8748963
3.9529483,3.7964869
3.9882655,3.8144352
3.782285,3.7168634
3.9465747,3.8471425
3.8390801,3.8613315
3.9228625,3.8157117
4.0240684,3.8518023
3.9198496,3.7428267
3.6902764,3.7756722
3.4244342,3.777405
3.6624522,3.8432231
3.6410766,3.8079879
3.6560838,3.8194213
3.8188958,3.8692312
3.6584873,3.708952
3.6556187,3.769253
3.6803482,3.8182468
4.0570364,3.838516
4.0009079,3.8358462
3.933511,3.754077
3.9245605,3.7985449
3.888823,3.7906518
3.9735847,3.7135596
3.7099979,3.636564
3.8880391,3.5758893
3.7848067,3.7384229
3.7995741,3.6917782
3.8336868,3.8797302
4.070292,3.8919072
3.8762567,3.8632815
3.9872594,3.8363223
3.8244545,3.8151147
3.7324572,3.488812
3.8186865,3.464936
3.9912584,3.8370302
3.8286057,3.7746992
3.8511894,3.8684833
3.7493882,3.8506947
4.1048164,3.8801491
4.1718726,3.865159
3.9400933,3.8630204
4.0186462,3.8351409
4.0405884,3.8369362
4.1376033,3.8741667
4.3435025,3.8638532
