clust_HDDS,clust_HDDS_ipczone_predict_m2
4.6875,4.3939915
5.2352943,4.6719322
5.7199998,5.0466809
5.0952382,5.0924048
5.3125,4.6240244
5.4210525,5.0466809
5.2608695,4.2119298
5.6500001,4.5342398
5.318182,4.7248378
5.125,4.6982718
4.9259257,4.7248378
4.0952382,4.6928439
4.590909,4.6649761
5.1904764,4.2119298
5.3888888,4.6649761
5.7142859,4.6649761
6.25,4.4820662
5.181818,5.4844537
4.8499999,4.6999178
4.6500001,4.6690187
5.6500001,5.0383306
5.7272725,5.0383306
5.2631578,4.8011808
6.1666665,4.5845585
5.3684211,5.4408517
5.8125,4.6890974
6.1578946,4.6106019
5.7058825,5.2284832
6.5,4.7015786
5.6842103,5.4408517
5.0588236,4.6168275
4.9411764,4.6168275
4.5625,4.6168275
5.1111112,5.0266514
6.0555553,5.0266514
5.2777777,5.0963244
5.8095236,5.1585431
5.3333335,5.3255863
5.3125,5.1585431
5,5.1585431
5.6875,5.0482101
5.4705882,5.1585431
6.4375,4.880702
6.0999999,4.8741164
5.6363635,5.1585431
5.6500001,5.1585431
5.826087,4.8116441
5.5652175,4.3642969
5.2173915,4.3642969
5.4444447,4.3642969
4.7777777,4.8259683
5.3888888,4.8259683
4.7777777,4.880702
4.5999999,4.880702
5.9130435,4.880702
5.1666665,4.880702
5.1666665,4.604712
4.7333331,4.3380237
4.25,4.3380237
4.4000001,4.3380237
4.8499999,4.8269572
6.3157897,5.6165113
6.2142859,5.6165113
6.818182,5.6165113
6.409091,4.880702
6.4210525,5.6165113
5.695652,5.6165113
6.8000002,5.6165113
5.7083335,5.6165113
6.25,4.9579563
5.8125,4.880702
4.8421054,4.5528603
4.9444447,4.7113566
4.8235292,4.7113566
5.2631578,4.5496211
5.2380953,4.9579563
4.7058825,4.3730278
6.4499998,4.9579563
6.3157897,5.0435686
5.7894735,5.4334593
5.4210525,4.8529878
5.5714288,4.8529878
6,5.1872602
5.2222223,5.0485582
5.4285712,4.9059048
6.1904764,5.1872602
5.4375,3.8477926
5.4499998,4.8950038
5.25,5.2440181
4.7777777,4.9533563
5.8888888,5.2233748
6.352941,5.2233748
6.2631578,4.7317967
6.2727275,5.2233748
6.6315789,4.7317967
5.96,5.6167598
5.8499999,5.6167598
6.125,5.5849175
5.625,4.737771
6.0454545,4.9602399
5.2941175,5.1612334
6.0526314,5.1612334
5.681818,4.9602399
5.352941,4.8830009
5.0625,5.1224637
5.1764708,5.132813
5.8235292,5.0931621
5.6666665,4.9519424
5.25,5.0931621
5.4736843,5.0931621
6.8571429,5.0931621
5.9130435,4.7967129
5.5500002,4.7967129
5.3636365,4.7967129
5.4347825,4.4943442
5.2857141,4.7567091
6.1599998,4.8279176
6.0555553,4.8279176
5.9000001,4.8279176
5.3000002,4.8279176
4.3684211,4.8279176
4.8000002,4.8279176
4.9523811,4.8279176
4.8571429,4.8279176
5.7391305,4.8279176
4.9629631,4.5640464
4.8823528,4.3029118
5,4.7822895
6.5,5.6165576
5.8499999,5.6165576
5.5,4.5183544
5.3684211,4.5183544
5.1999998,4.5183544
5.7142859,4.10255
4.9523811,4.10255
5.5714288,4.5106649
5.4117646,4.6678514
5.090909,4.9831014
5.5714288,5.4204612
6.3125,5.3294487
5.8888888,4.7925692
6.1052632,4.7925692
5.5625,4.8512173
5.5500002,3.7840042
5.304348,3.7840042
5.7368422,4.8378386
5.4761906,5.4204612
5.4736843,4.9782968
5.5,5.0969181
6.1111112,4.9831014
6.3846154,4.9831014
5.9130435,5.4194942
6,5.5771489
6.2105265,5.4194942
6.5714288,5.4194942
6.6666665,5.1250305
