clust_RCSI,clust_RCSI_clust_predict_m2
12.3125,3.9064496
5.352941,3.4141262
5.0799999,2.6229782
4.2857141,3.4465778
.8125,3.7023423
10.842105,3.0078533
2.0869565,3.4214001
2.1500001,3.9391599
3.090909,3.5945594
2.25,5.8022885
2.8888888,3.0433686
8.2857141,3.4499252
7.0454545,6.3631921
3.3809524,3.0501337
2.2222223,5.2487373
3.8571429,5.8151441
4.1428571,1.8749671
1.1363636,3.9878831
4.1999998,5.7352848
3.25,4.0757775
4.1999998,5.6270609
7.5454545,5.2918072
3.5263157,6.0760212
10.166667,5.4160776
4,5.6319289
8.5625,5.9302478
6.2105265,7.7079654
9.4705887,5.8050566
2.3181818,1.7854974
8.2631578,4.4155478
4.4705882,3.3801408
3.8823528,3.3857596
6.125,2.9759288
3.6111112,3.1663098
2.0555556,2.0923936
4.8888888,2.8067908
1.7619047,2.4818861
.86666667,3.3324149
1.25,3.0404079
.2631579,3.6772788
.8125,3.6727736
2.5294118,3.2659101
.625,2.3479197
3.0999999,2.1516049
3.5,2.2638006
5.0500002,3.003845
3.652174,3.6709294
1.1304348,3.1642318
3.9130435,3.7599778
3.1481481,3.6721818
1.7777778,3.5193844
1.8333334,2.8646612
5.8888888,4.1823382
8.6499996,3.4709227
4.4347825,2.4677296
4.3888888,3.0214689
4.4583335,3.5074422
1.6666666,3.2878134
5.75,2.9599001
11.85,3.5284817
2.75,3.6833541
2.7894738,1.6994776
1.3214285,2.1976593
.90909094,1.2757678
2.8636363,1.4129313
1.6842105,1.3687513
7.652174,2.5348282
.15000001,.42803738
4.125,2.6653788
4.4375,2.5045545
3.8125,2.806694
4.8421054,4.0030193
7,3.847136
7.4705882,4.2544713
4.3684211,3.9247687
3.1904762,4.1922636
3.4705882,4.266686
2.3,2.501466
8.0526314,2.8828368
2.4736843,3.7970369
8.4210529,3.3992958
2.1428571,3.516134
7.0952382,2.9052413
13.722222,3.5184338
10.714286,3.5795898
2.5238094,2.3887627
12,4.4246655
9.25,4.144702
3.75,3.2881644
4.6666665,3.7247965
4.6111112,2.7638278
4.1176472,1.7304626
3,3.1437256
5.909091,2.0011501
1.5263158,2.9198654
3,2.0252669
3.4000001,2.2204547
4.125,2.2331746
3.3125,2.7137825
2.8636363,3.7410808
2.5882354,3.6722875
.78947371,2.6758168
3.1818182,3.3371682
3.5882354,3.1904521
3.5,3.0629451
3.3529413,3.369343
2,3.5801239
4.4666667,3.3513877
2.4375,3.7778778
2.4736843,3.526736
.095238097,.76214737
2.2608695,3.4073322
3.3,3.6297238
7,3.8272049
1.7826087,3.8378069
4.5714288,4.1650138
2.72,2.0726099
2.6111112,2.7021143
3.1500001,2.6470115
5.1999998,3.7474871
5.3157897,3.7733986
7.1500001,3.7237837
6.6666665,3.6765049
6,3.7248363
2.7391305,3.1793282
3.2592592,4.0940161
4.352941,3.0837262
4.7222223,3.5188794
.75,1.7323076
2.8,2.1656201
4.3000002,3.8849752
2.6842105,3.6522615
4.6999998,3.7608328
6.8571429,3.5446467
1.2857143,3.8141356
4.4761906,4.7973471
2.3529413,3.3733106
3.0454545,3.7863343
2.8571429,3.0577056
1.9375,2.4578128
3.5,2.728493
4.0526314,2.4973686
6.1875,4.0595479
10.55,4.974143
8.043478,4.8231187
7.1052632,3.9851801
4.5238094,3.9592195
3,3.6433716
7.818182,3.5914617
3.2777777,2.6679723
4,1.9402432
1.9130435,2.4200234
5.3333335,2.1070156
1.1578947,2.1709878
5.1428571,1.7386287
3.4761906,1.0297921
