clust_logFCS,clust_logFCS_ipczone_predict_m2
3.6660154,3.5434852
3.7188785,3.7188718
3.7998304,3.8648245
3.8448913,3.7452621
3.6879361,3.5563097
3.7841516,3.8648245
3.8374259,3.4491065
3.8953035,3.6722505
3.8047087,3.6560481
3.6172888,3.6572607
3.6439795,3.6560481
3.4990628,3.5846424
3.4933577,3.6391413
3.6403515,3.4491065
3.6665723,3.6391413
3.84376,3.6391413
4.0433965,3.5424421
3.7008128,3.8132713
3.7441485,3.609601
3.6215286,3.6035461
3.862515,3.8304844
3.9374404,3.8304844
3.8079872,3.6985433
3.9977124,3.63482
3.8358147,3.8109963
3.7830768,3.6453285
3.8918312,3.6477027
3.7758429,3.7960372
4.1514988,3.6433303
3.8444798,3.8109963
3.8362947,3.6063266
3.6930976,3.6063266
3.6518881,3.6063266
3.7350838,3.7268984
3.9886575,3.7268984
3.7446616,3.8757973
3.93312,3.7664897
3.7440948,3.8579581
3.7857857,3.7664897
3.7116849,3.7664897
3.8871653,3.6498666
3.9496818,3.7664897
4.2388158,3.6858749
3.9722149,3.74858
3.8195713,3.7664897
3.7748787,3.7664897
3.9916737,3.6081126
3.8403809,3.5501685
3.8244824,3.5501685
3.8742146,3.5501685
3.7777686,3.6967611
3.9021387,3.6967611
3.7166927,3.6858749
3.5496531,3.6858749
3.9362974,3.6858749
3.7444925,3.6858749
3.5289705,3.5785174
3.5693336,3.4863071
3.6268327,3.4863071
3.4981892,3.4863071
3.6486998,3.6485083
4.1787114,3.9570558
4.0011086,3.9570558
4.2960067,3.9570558
4.1393027,3.6858749
4.1048226,3.9570558
3.8897817,3.9570558
4.4301381,3.9570558
3.8571975,3.9570558
4.1035881,3.7398582
3.9184604,3.6858749
3.6246924,3.6108105
3.6686556,3.6095564
3.6704962,3.6095564
3.7689302,3.5990708
3.7852209,3.7398582
3.7130654,3.5689418
4.0658445,3.7398582
4.0676599,3.7087798
4.0440907,3.8022916
3.7745514,3.6642036
3.8609583,3.6642036
3.9285622,3.7244251
3.7701697,3.8151937
3.7868888,3.6621335
3.9609897,3.7244251
3.7418106,3.4347456
3.7601032,3.6678121
3.7442036,3.7455158
3.6866508,3.6909854
3.8576705,3.8379567
4.307807,3.8379567
4.0041785,3.7175121
4.1439509,3.8379567
4.1076107,3.7175121
4.0758004,3.8976724
3.9102142,3.8976724
4.0183487,3.8246472
3.8182402,3.645637
3.9712291,3.7136788
3.7441885,3.7463863
3.9448898,3.7463863
3.745857,3.7136788
3.7006366,3.7526586
3.7242777,3.8837104
3.6038883,3.7944183
4.0880117,3.7545772
3.8565178,3.6436255
3.8771565,3.7545772
3.8044646,3.7545772
4.4177699,3.7545772
3.9529483,3.6013868
3.9882655,3.6013868
3.782285,3.6013868
3.9465747,3.582247
3.8390801,3.6644835
3.9228625,3.6640294
4.0240684,3.6640294
3.9198496,3.6640294
3.6902764,3.6640294
3.4244342,3.6640294
3.6624522,3.6640294
3.6410766,3.6640294
3.6560838,3.6640294
3.8188958,3.6640294
3.6584873,3.5553625
3.6556187,3.4739065
3.6803482,3.635015
4.0570364,3.9570699
4.0009079,3.9570699
3.933511,3.5960798
3.9245605,3.5960798
3.888823,3.5960798
3.9735847,3.5103576
3.7099979,3.5103576
3.8880391,3.663645
3.7848067,3.7079382
3.7995741,3.7814076
3.8336868,3.8000793
4.070292,3.7901511
3.8762567,3.6527781
3.9872594,3.6527781
3.8244545,3.6421449
3.7324572,3.4022079
3.8186865,3.4022079
3.9912584,3.6545188
3.8286057,3.8000793
3.8511894,3.6951971
3.7493882,3.7156575
4.1048164,3.7814076
4.1718726,3.7814076
3.9400933,3.8677235
4.0186462,3.9400225
4.0405884,3.8677235
4.1376033,3.8677235
4.3435025,3.7134891
