clust,clust_HDDS,clust_HDDS_predict
10101016,4.6875,4.3990016
10202514,5.2352943,4.9639831
10304012,5.7199998,5.7236977
10503367,5.0952382,4.5935163
10509319,5.3125,4.6131225
10746033,5.4210525,4.9643316
20113112,5.2608695,4.6492472
20206362,5.6500001,4.6849422
20407398,5.318182,4.4173961
20508349,5.125,5.0596132
20607315,4.9259257,4.839602
20615064,4.0952382,4.3878641
20807727,4.590909,4.6548905
20808421,5.1904764,4.6458244
20908088,5.3888888,5.3950844
20909113,5.7142859,5.0216594
21052427,6.25,5.9693985
30101280,5.181818,4.8548851
30105325,4.8499999,4.9649329
30108401,4.6500001,4.6337013
30305277,5.6500001,4.9021068
30406710,5.7272725,5.0327587
30504518,5.2631578,4.7646232
30708665,6.1666665,5.1582675
30711684,5.3684211,4.9264483
30806611,5.8125,4.6857567
31002169,6.1578946,5.6042976
31108703,5.7058825,5.2774878
31436695,6.5,6.3529415
31554613,5.6842103,5.5744238
10101204,5.0588236,4.8390317
10101215,4.9411764,4.6810837
10102004,4.5625,4.8563862
10203176,5.1111112,4.9367776
10220705,6.0555553,5.9046493
10305446,5.2777777,5.4651122
10401140,5.8095236,5.8053312
10401502,5.3333335,4.8711276
10501505,5.3125,4.6151905
10501709,5,4.6063886
10505310,5.6875,4.7802081
10510388,5.4705882,4.6428409
10732192,6.4375,5.7761106
10735173,6.0999999,6.1276937
10736596,5.6363635,5.6227193
10746244,5.6500001,5.1687241
20115434,5.826087,4.7026286
20302539,5.5652175,4.798306
20305301,5.2173915,4.816752
20306557,5.4444447,4.7281823
20404032,4.7777777,4.7383518
20407481,5.3888888,5.0619702
20601141,4.7777777,4.4090266
20603090,4.5999999,4.5884953
20607260,5.9130435,5.4919653
20615735,5.1666665,4.8329368
20706163,5.1666665,4.7785072
20803156,4.7333331,4.5576901
20804405,4.25,4.764019
20804768,4.4000001,4.4322019
20906524,4.8499999,4.7162871
21037030,6.3157897,6.047215
21037536,6.2142859,5.9019756
21053745,6.818182,6.7100105
21055241,6.409091,6.4819202
21055693,6.4210525,6.3723307
21074510,5.695652,5.3531384
21077725,6.8000002,7.9216566
21080308,5.7083335,5.4175744
21081573,6.25,5.3841395
21088597,5.8125,5.2750411
30103074,4.8421054,4.6552095
30104708,4.9444447,4.6259112
30105448,4.8235292,4.4316239
30109724,5.2631578,4.7256141
30212307,5.2380953,4.4518037
30212492,4.7058825,4.3132081
30307678,6.4499998,6.0467987
30403444,6.3157897,5.2398796
30602235,5.7894735,4.9175892
30703381,5.4210525,4.9400415
30704313,5.5714288,4.8398409
30709438,6,5.102529
30801679,5.2222223,4.968904
30803115,5.4285712,4.9632254
30804416,6.1904764,5.8415518
30901603,5.4375,4.2280746
31007335,5.4499998,4.6920285
31201007,5.25,5.1132445
31201197,4.7777777,4.9117351
31432523,5.8888888,5.2384982
31432676,6.352941,6.1722589
31438690,6.2631578,5.2744594
31443108,6.2727275,6.174871
31443270,6.6315789,5.7561631
31540419,5.96,6.1077251
31545384,5.8499999,5.6571898
31555614,6.125,5.4885178
10103414,5.625,4.6974478
10203744,6.0454545,4.9797363
10204322,5.2941175,4.8906374
10204586,6.0526314,5.7614527
10220103,5.681818,5.1152296
10301663,5.352941,5.2076931
10308636,5.0625,5.1081285
10404186,5.1764708,4.9438329
10502268,5.8235292,4.6381068
10502593,5.6666665,4.8931875
10505136,5.25,4.3750539
10505508,5.4736843,4.8118396
10733640,6.8571429,7.3817477
20106042,5.9130435,4.8363829
20110620,5.5500002,4.7413797
20111718,5.3636365,4.5373812
20303065,5.4347825,4.5325084
20404575,5.2857141,4.5781217
20601626,6.1599998,5.9769182
20602363,6.0555553,5.4944515
20603533,5.9000001,5.4892149
20604638,5.3000002,4.5104294
20605302,4.3684211,4.4249916
20610050,4.8000002,4.6035633
20610249,4.9523811,4.7963166
20613324,4.8571429,4.4638777
20614477,5.7391305,4.914372
20704738,4.9629631,4.5324559
20801046,4.8823528,4.6733952
20906605,5,4.7882633
21066096,6.5,6.045094
21066339,5.8499999,5.7012172
30101545,5.5,4.5798841
30102028,5.3684211,4.6869149
30102540,5.1999998,4.7767496
30206341,5.7142859,5.0563226
30206572,4.9523811,4.642025
30302601,5.5714288,4.4243326
30305082,5.4117646,4.8001137
30305580,5.090909,4.7051125
30501383,5.5714288,5.1154003
30620196,6.3125,6.021297
30705391,5.8888888,5.2932668
30706619,6.1052632,5.6324902
30801672,5.5625,4.5670209
30901054,5.5500002,4.068943
30901475,5.304348,4.2051616
31004312,5.7368422,4.8315849
31006556,5.4761906,4.7740927
31201104,5.4736843,5.0049033
31201516,5.5,4.9323959
31435120,6.1111112,5.4576077
31439102,6.3846154,6.4644041
31532674,5.9130435,5.5706587
31533095,6,5.4822736
31536751,6.2105265,5.7043667
31546760,6.5714288,5.919436
31550254,6.6666665,7.502749
