,Model,Accuracy,% Type I,% Type II
2,logFCS_clust_m1,0.74,0.06,0.20
3,logFCS_clust_m2,0.72,0.21,0.08
4,logFCS_clust_m3,0.62,0.32,0.06
5,logFCS_ipczone_m1,0.54,0.40,0.06
6,logFCS_ipczone_m2,0.56,0.40,0.03
7,logFCS_ipczone_m3,0.49,0.49,0.03
8,logFCS_TA_m1,0.73,0.06,0.21
9,logFCS_TA_m2,0.68,0.25,0.07
10,logFCS_TA_m3,0.60,0.35,0.05
11,HDDS_clust_m1,0.78,0.22,0.00
12,HDDS_clust_m2,0.85,0.15,0.01
13,HDDS_clust_m3,0.87,0.13,0.01
14,HDDS_ipczone_m1,0.78,0.22,0.00
15,HDDS_ipczone_m2,0.78,0.22,0.00
16,HDDS_ipczone_m3,0.77,0.22,0.01
17,HDDS_TA_m1,0.78,0.22,0.00
18,HDDS_TA_m2,0.81,0.17,0.02
19,HDDS_TA_m3,0.83,0.13,0.03
20,RCSI_clust_m1,0.60,0.05,0.35
21,RCSI_clust_m2,0.62,0.06,0.32
22,RCSI_clust_m3,0.65,0.12,0.24
23,RCSI_ipczone_m1,0.56,0.04,0.40
24,RCSI_ipczone_m2,0.56,0.03,0.41
25,RCSI_ipczone_m3,0.55,0.02,0.43
26,RCSI_TA_m1,0.52,0.25,0.23
27,RCSI_TA_m2,0.51,0.32,0.17
28,RCSI_TA_m3,0.55,0.29,0.15
